TN,TP,FN,FP,config,complete,score,falseRate,numVars,numIfs,numLoops,numFuncs,numCalls,numFundTypes,numArrayTypes,numPointerTypes,numCompTypes,numThings,numLines,numLoads,numStores,numAddrSpaceCast,numAlloca,numAtomicCmpXchg,numAtomicRMW,numBitCast,numBranch,numCall,numCatchPad,numCatchReturn,numCatchSwitch,numCleanupPad,numCleanupReturn,numExtractElement,numExtractValue,numFCmp,numFence,numFPExt,numFPToSI,numFPToUI,numFPTrunc,numGetElementPtr,numICmp,numIndirectBr,numInsertElement,numInsertValue,numIntToPtr,numInvoke,numLandingPad,numLoad,numPHINode,numPtrToInt,numResume,numReturn,numSelect,numSExt,numShuffleVector,numSIToFP,numStore,numSwitch,numTrunc,numUIToFP,numUnreachable,numVAArg,numZExt,numDUMMY
121,0,0,0,295,121,242.0,0.0,7,4,1,1,3,4,0,3,0,72,93,43,14,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,43,1,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,13,6,2,2,3,6,0,7,0,70,106,28,18,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,28,1,0,0,2,0,10,0,0,18,0,1,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,5,5,1,1,4,3,0,2,0,45,66,21,9,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,7,2,2,1,0,4,0,3,0,32,43,15,7,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,8,5,2,2,2,6,0,2,0,58,90,27,14,0,0,0,0,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,27,0,0,0,2,0,7,0,0,14,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,5,1,1,1,0,3,0,2,0,24,31,11,6,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,11,5,1,2,4,7,0,4,0,51,72,14,15,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,14,0,0,0,2,0,2,0,0,15,0,1,0,0,0,2,0
121,0,0,0,295,121,242.0,0.0,7,5,1,1,4,4,0,3,0,44,63,18,9,0,0,0,0,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,18,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,11,4,1,2,3,5,0,6,0,57,80,19,18,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,19,0,0,0,2,0,5,0,0,18,0,0,0,0,0,0,0
121,0,0,0,295,121,242.0,0.0,15,5,1,4,8,5,0,10,0,85,110,29,24,0,0,0,0,1,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,29,0,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0
